"","Year","CO3","Ca","Cl","HCO3","K","Mg","Na","SO4"
"	KMS10",2017,0.001665,0.3493,1.6638,0.3608,0.05888,0.5761,1.6182,0.00104
"	KMS11",2017,0.001665,0.499,2.2278,0.5904,0.07936,1.11928,2.5665,0.0416
"	KMS12",2017,0.001665,0.06986,0.6486,0.3608,0.03072,0.33743,0.696,0.00104
"	KMS13",2017,0.001665,1.92614,1.3818,2.4436,0.00512,0.92176,1.62255,0.00104
"	KMS14",2017,0.001665,13.0239,21.9396,0.4756,0.74496,16.1308,60.03,0.5616
"	KMS15",2017,0.001665,1.7465,0.7896,1.4104,0.03584,0.84769,1.48335,0.00104
"	KMS16",2017,0.001665,1.01297,3.6096,0.492,0.09728,1.59662,5.046,0.00104
"	KMS17",2017,0.001665,0.15469,0.6486,0.246,0.1408,0.18929,0.70905,0.416
"	KMS18",2017,0.001665,1.36726,1.2126,1.8204,0.17664,1.67892,2.17065,0.2912
"KMS04",2016,0.001665,0.30938,1.2408,0.6888,0.0384,0.46911,1.29195,0.208
"KMS19",2016,0.001665,0.03493,0.141,0.0492,0.00128,0.02469,0.14355,0.00104
"KMS20",2016,0.001665,0.02994,0.0564,0.0492,0.00768,0.02469,0.0522,0.00104
"KMS21",2016,0.001665,0.02495,0.141,0.0328,0.00256,0.04115,0.12615,0.00104
"KMS22",2016,0.001665,0.04491,0.2538,0.00082,0.0128,0.03292,0.17835,0.00104
"KMS23",2016,0.001665,0.02495,0.141,0.082,0.00768,0.04115,0.1305,0.00104
